Price,Close,High,Low,Open,Volume,next_day_high_target,Next_Day_Close_Target
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,
Date,,,,,,,
2022-07-29,159.4587555,160.5577369,156.5052757,158.2126114,101786900,160.5184566,158.4775085
2022-08-01,158.4775085,160.5184566,157.8691544,157.9868965,67829400,159.3606078,157.005661
2022-08-02,157.005661,159.3606078,156.632806,157.0939826,59907000,163.4621121,163.0107574
2022-08-03,163.0107574,163.4621121,157.7317672,157.8200738,82507500,164.0508561,162.6967621
2022-08-04,162.6967621,164.0508561,161.3426681,162.8930039,55474100,162.962027,162.4707336
2022-08-05,162.4707336,162.962027,160.1616487,160.3679985,56697000,164.8879232,161.999115
2022-08-08,161.999115,164.8879232,161.3407835,163.4729955,60276900,162.9326009,162.0482635
2022-08-09,162.0482635,162.9326009,160.4073449,161.1639412,63135500,166.3912948,166.293045
2022-08-10,166.293045,166.3912948,163.9937799,164.7601966,70170500,168.0125743,165.5561066
2022-08-11,165.5561066,168.0125743,165.2613274,167.0987605,57149200,169.1720143,169.103241
2022-08-12,169.103241,169.1720143,166.4502439,166.8629436,68039400,170.3707698,170.1742554
2022-08-15,170.1742554,170.3707698,168.3662988,168.5333368,54091700,170.6852111,170.0170441
2022-08-16,170.0170441,170.6852111,168.6709045,169.7713973,56377100,173.0827046,171.5105743
2022-08-17,171.5105743,173.0827046,169.5650562,169.7615706,79542000,171.8544788,171.1175385
2022-08-18,171.1175385,171.8544788,170.1054749,170.7245096,62290100,170.7147004,168.5333557
2022-08-19,168.5333557,170.7147004,168.3270058,170.0170569,70346300,166.902248,164.6521301
2022-08-22,164.6521301,166.902248,164.2296099,166.73521,69026800,165.7722325,164.3179932
2022-08-23,164.3179932,165.7722325,163.748091,164.1706111,54147100,165.1827105,164.6128082
2022-08-24,164.6128082,165.1827105,163.355098,164.4064733,53841500,167.1773448,167.0692596
2022-08-25,167.0692596,167.1773448,165.4185207,165.8410259,51218200,168.0715189,160.7708893
2022-08-26,160.7708893,168.0715189,160.7119365,167.5998813,78961000,160.063422,158.5699005
2022-08-29,158.5699005,160.063422,157.0370671,158.3438947,73314000,159.729335,156.1428986
2022-08-30,156.1428986,159.729335,154.9736177,159.3068298,77906200,157.7838544,154.4823608
2022-08-31,154.4823608,157.7838544,154.4037521,157.5185517,87991100,155.6614237,155.2094421
2022-09-01,155.2094421,155.6614237,151.9767227,153.9124202,74229900,157.5676676,153.0968933
2022-09-02,153.0968933,157.5676676,152.2715237,156.9682889,76957800,154.3546238,151.8392029
2022-09-06,151.8392029,154.3546238,151.0138332,153.7454245,73714800,153.941891,153.2442627
2022-09-07,153.2442627,153.941891,150.9351774,152.1241142,87449600,153.6373413,151.7704315
2022-09-08,151.7704315,153.6373413,150.0214124,151.94729,84923800,155.0719064,154.6297302
2022-09-09,154.6297302,155.0719064,152.0553568,152.7628207,68028800,161.3997164,160.5841675
2022-09-12,160.5841675,161.3997164,156.5260938,156.8110374,104956000,157.7445243,151.1611938
2022-09-13,151.1611938,157.7445243,150.6993767,157.1156692,122656600,154.36443,152.6055908
2022-09-14,152.6055908,154.36443,150.9351959,152.0946414,87965400,152.5368166,149.7167816
2022-09-15,149.7167816,152.5368166,148.74403,151.9570789,90481100,148.7145573,148.0758667
2022-09-16,148.0758667,148.7145573,145.7864371,148.5769957,162278800,151.8686326,151.7900238
2022-09-19,151.7900238,151.8686326,146.5037163,146.7100512,81474200,155.3273683,154.1679077
2022-09-20,154.1679077,155.3273683,150.4144328,150.7288529,107689800,155.9758963,151.0433044
2022-09-21,151.0433044,155.9758963,150.9253988,154.6002653,101696800,151.7802242,150.0803528
2022-09-22,150.0803528,151.7802242,148.2822167,149.7266208,86652500,148.8324457,147.8105469
2022-09-23,147.8105469,148.8324457,145.9731141,148.5573225,96029900,151.0924145,148.1446533
2022-09-26,148.1446533,151.0924145,147.0343252,147.0539811,93339400,152.0258653,149.1174011
2022-09-27,149.1174011,152.0258653,147.338921,150.0803472,84442700,148.0168922,147.2308197
2022-09-28,147.2308197,148.0168922,142.3178851,145.0691315,146691400,144.1651515,139.9989777
2022-09-29,139.9989777,144.1651515,138.2303182,143.5559524,128138200,140.6082349,135.7935486
2022-09-30,135.7935486,140.6082349,135.5970341,138.819919,124925300,140.5787271,139.9695129
2022-10-03,139.9695129,140.5787271,135.2924043,135.8033537,114311700,143.6738749,143.5559692
2022-10-04,143.5559692,143.6738749,141.7479977,142.5045939,87830100,144.8136846,143.8507385
2022-10-05,143.8507385,144.8136846,140.519769,141.5613239,79471000,144.9708726,142.8976135
2022-10-06,142.8976135,144.9708726,142.6912787,143.2710014,68402200,140.6082318,137.6506348
2022-10-07,137.6506348,140.6082318,137.0217796,140.0579704,85925600,139.4192575,137.9748535
2022-10-10,137.9748535,139.4192575,136.1570767,137.9748535,74899000,138.8886934,136.5599518
2022-10-11,136.5599518,138.8886934,135.813191,137.4639301,77033700,137.9159214,135.9310913
2022-10-12,135.9310913,137.9159214,135.7542328,136.7073435,70433700,141.0896653,140.5001221
2022-10-13,140.5001221,141.0896653,132.0302118,132.639426,113224000,142.0034817,135.9703979
